,Unnamed: 0,policy_id,customer_gender_male,customer_education,incident_type_collision,fraud,num_injuries,policy_liability,customer_gender_female,incident_severity,authorities_contacted_fire,collision_type_front,incident_type_theft,authorities_contacted_none,collision_type_rear,policy_state_or,policy_annual_premium,policy_state_az,incident_type_breakin,collision_type_na,driver_relationship_na,num_witnesses,months_as_customer,policy_state_nv,policy_state_id,incident_hour,incident_month,authorities_contacted_ambulance,driver_relationship_spouse,incident_day,policy_state_ca,driver_relationship_child,total_claim_amount,vehicle_claim,injury_claim,num_claims_past_year,customer_age,auto_year,police_report_available,incident_dow,num_vehicles_involved,num_insurers_past_5_years,collision_type_side,driver_relationship_self,policy_state_wa,policy_deductable,driver_relationship_other,authorities_contacted_police
25,25,345,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,1,1,1,0,90,0,0,15,10,0,0,4,1,0,34441.0,5241.0,29200.0,0,58,2011,1,4,1,1,0,0,0,750,0,1
26,26,536,0,4,0,0,0,1,1,0,0,0,0,0,0,0,2600,0,1,1,1,0,47,0,0,15,7,0,0,7,1,0,13225.0,10225.0,3000.0,0,44,2018,0,6,1,3,0,0,0,750,0,1
27,27,2306,0,3,1,0,0,1,0,1,0,0,0,0,0,0,3000,0,0,0,0,0,41,0,1,18,8,0,0,3,0,0,58769.0,14269.0,44500.0,2,38,2017,1,5,2,2,1,1,0,750,0,1
28,28,4227,0,0,1,0,0,0,0,1,0,0,0,0,1,0,3000,1,0,0,0,0,136,0,0,13,8,0,0,12,0,0,38072.0,14572.0,23500.0,0,55,2013,1,0,2,1,0,1,0,750,0,1
29,29,2584,0,3,0,0,0,0,1,0,0,0,0,0,0,0,3000,0,1,1,1,0,96,0,0,11,10,0,0,16,1,0,61535.0,13635.0,47900.0,0,46,2019,0,2,1,1,0,0,0,750,0,1
30,30,4407,0,0,1,0,0,1,1,0,0,0,0,0,1,0,3000,0,0,0,0,1,183,0,0,6,1,0,0,4,0,0,17971.0,11871.0,6100.0,0,60,2014,1,4,3,1,0,1,1,750,0,1
31,31,4433,1,3,1,0,3,0,0,1,0,1,0,0,0,0,2800,0,0,0,0,1,39,0,0,6,5,0,0,28,1,0,26742.0,16942.0,9800.0,0,40,2019,1,1,3,3,0,1,0,750,0,1
32,32,4483,1,4,1,0,2,0,0,2,0,0,0,0,1,0,3000,0,0,0,0,0,468,0,0,14,12,0,0,11,1,0,39991.0,30091.0,9900.0,0,59,2020,1,2,2,1,0,0,0,750,1,1
33,33,2782,1,1,1,1,0,1,0,1,0,0,0,0,1,0,3000,0,0,0,0,0,76,0,0,9,5,0,0,9,1,0,30259.0,14159.0,16100.0,0,36,2015,0,3,1,1,0,1,0,750,0,1
34,34,4677,0,1,1,0,0,1,0,1,0,0,0,0,1,0,3000,0,0,0,0,1,13,0,0,9,9,0,0,26,1,0,24650.0,10650.0,14000.0,0,20,2011,1,3,3,4,0,0,0,750,1,1
35,35,2925,1,2,1,0,0,0,0,2,0,0,0,0,0,0,3000,0,0,0,0,2,74,0,0,12,1,0,0,29,1,0,68630.0,25230.0,43400.0,0,67,2012,1,1,3,1,1,1,0,750,0,1
36,36,2989,1,3,0,0,0,0,0,1,0,0,1,0,0,0,2450,0,0,1,1,0,68,0,0,11,6,0,0,6,1,0,16721.0,10921.0,5800.0,0,56,2012,0,3,1,1,0,0,0,750,0,1
37,37,1487,1,3,1,0,0,1,0,0,0,0,0,1,1,0,3000,0,0,0,0,0,111,0,0,10,1,0,1,18,1,0,24337.0,19537.0,4800.0,0,44,2019,0,4,1,1,0,0,0,750,0,0
38,38,3307,0,4,1,0,0,0,1,0,0,0,0,1,0,0,2950,0,0,0,0,0,101,0,0,16,9,0,0,6,1,0,16366.0,11566.0,4800.0,0,50,2011,0,4,2,1,1,1,0,750,0,0
39,39,3423,0,1,1,0,0,3,1,0,0,1,0,1,0,1,3000,0,0,0,0,0,27,0,0,13,9,0,0,5,0,0,60555.0,14055.0,46500.0,0,24,2017,0,3,2,3,0,1,0,750,0,0
40,40,1806,1,1,1,0,0,0,0,0,0,0,0,1,0,0,3000,0,0,0,0,2,14,0,0,17,3,0,0,13,1,0,8793.0,5293.0,3500.0,0,19,2018,0,2,2,1,1,1,0,750,0,0
41,41,332,0,4,1,0,0,3,1,0,0,1,0,1,0,0,3000,0,0,0,0,2,145,0,0,18,3,0,0,21,1,0,16554.0,13354.0,3200.0,0,68,2017,0,3,2,1,0,0,0,750,1,0
42,42,2079,0,3,1,0,0,1,1,1,0,0,0,0,0,0,3000,0,0,0,0,0,55,0,0,12,11,0,0,17,1,0,36399.0,13699.0,22700.0,0,45,2015,0,6,2,1,1,1,0,750,0,1
43,43,694,1,1,1,0,4,0,0,2,0,0,0,0,1,0,2450,0,0,0,0,4,119,0,0,11,5,0,0,18,1,0,13693.0,9393.0,4300.0,0,50,2008,1,5,4,1,0,1,0,750,0,1
44,44,773,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2550,0,1,1,1,0,22,0,0,10,2,0,0,26,1,0,74642.0,13642.0,61000.0,0,23,2013,0,1,1,4,0,0,0,750,0,1
45,45,785,0,4,1,0,1,0,0,2,0,0,0,0,0,0,3000,1,0,0,0,0,96,0,0,20,10,0,0,16,0,0,173577.0,32077.0,141500.0,0,53,2016,1,2,3,1,1,1,0,750,0,1
46,46,4167,0,1,0,0,0,2,1,1,0,0,1,0,0,0,2800,0,0,1,1,0,89,0,0,17,7,0,0,21,0,0,32898.0,15898.0,17000.0,0,48,2016,0,6,1,1,0,0,1,750,0,1
47,47,4215,0,4,1,0,0,1,1,0,0,0,0,1,1,1,3000,0,0,0,0,0,44,0,0,17,1,0,0,30,0,0,27956.0,13256.0,14700.0,1,42,2016,0,2,1,3,0,1,0,750,0,0
48,48,4287,1,4,1,0,0,0,0,1,0,1,0,0,0,0,3000,0,0,0,0,1,74,0,0,9,2,0,0,7,1,0,53318.0,14018.0,39300.0,0,44,2018,0,3,2,1,0,1,0,750,0,1
49,49,2660,1,3,1,0,0,0,0,1,0,1,0,0,0,0,3000,0,0,0,0,0,123,0,0,18,1,0,0,6,1,0,44117.0,19217.0,24900.0,1,57,2017,1,6,3,1,0,1,0,750,0,1
50,50,2692,1,1,0,0,0,3,0,0,0,0,0,0,0,0,2550,0,1,1,1,0,243,1,0,20,1,0,0,7,0,0,18175.0,13175.0,5000.0,0,70,2019,1,0,1,1,0,0,0,750,0,1
51,51,2805,1,1,1,0,0,1,0,0,0,0,0,1,0,0,2550,0,0,0,0,0,59,0,1,11,12,0,0,23,0,0,46118.0,9518.0,36600.0,0,50,2015,0,0,1,1,1,1,0,850,0,0
52,52,4646,0,1,1,1,2,3,1,2,0,1,0,0,0,0,3000,0,0,0,0,1,9,0,0,8,11,0,0,28,0,0,45699.0,40899.0,4800.0,1,19,2020,0,3,2,5,0,1,1,750,0,1
53,53,4706,0,1,0,0,1,1,1,1,0,0,1,0,0,0,3000,0,0,1,1,0,107,0,0,12,2,0,0,21,1,0,27822.0,16422.0,11400.0,1,45,2018,0,3,1,1,0,0,0,750,0,1
54,54,1409,0,4,1,0,0,1,1,0,0,1,0,1,0,0,2600,0,0,0,0,1,240,0,0,13,8,0,0,23,1,0,23904.0,16804.0,7100.0,0,60,2020,0,4,2,1,0,1,0,750,0,0
55,55,1474,0,0,1,0,0,1,0,0,0,0,0,1,1,0,3000,0,0,0,0,0,53,1,0,3,7,0,0,29,0,0,13690.0,6890.0,6800.0,0,39,2014,0,0,1,1,0,1,0,750,0,0
56,56,4903,1,3,1,0,0,1,0,0,0,0,0,1,1,0,3000,0,0,0,0,0,123,0,0,5,2,0,0,25,0,0,66144.0,18044.0,48100.0,0,54,2016,0,0,1,1,0,1,1,750,0,0
57,57,3242,0,2,1,0,1,1,1,2,0,0,0,0,1,0,3000,0,0,0,0,2,135,0,0,17,12,0,0,19,1,0,60345.0,29145.0,31200.0,0,46,2016,0,3,2,1,0,1,0,750,0,1
58,58,3261,1,1,1,0,1,1,0,2,0,0,0,0,0,0,3000,0,0,0,0,0,106,0,0,8,8,0,0,30,1,0,38777.0,26377.0,12400.0,0,53,2013,1,4,3,1,1,1,0,750,0,1
59,59,3770,0,3,1,0,0,2,1,1,0,1,0,0,0,0,2900,1,0,0,0,2,95,0,0,16,10,0,0,2,0,0,108833.0,11833.0,97000.0,0,35,2016,1,2,2,1,0,1,0,750,0,1
60,60,2521,1,3,1,0,0,0,0,1,0,0,0,0,0,0,3000,0,0,0,0,0,2,0,0,10,1,0,1,6,1,0,71360.0,18860.0,52500.0,0,22,2014,0,6,1,1,1,0,0,750,0,1
61,61,2775,0,3,1,0,1,1,0,2,0,0,0,0,1,0,3000,0,0,0,0,3,107,0,0,14,2,0,0,4,0,0,59234.0,32634.0,26600.0,0,48,2017,1,0,3,1,0,1,1,750,0,1
62,62,4575,1,2,0,0,0,3,0,0,0,0,0,0,0,1,2800,0,1,1,1,0,44,0,0,16,6,0,0,30,0,0,79258.0,15558.0,63700.0,0,46,2020,0,6,1,2,0,0,0,750,0,1
63,63,1481,0,1,1,0,0,1,1,2,0,1,0,0,0,0,3000,1,0,0,0,0,193,0,0,11,7,0,0,6,0,0,42677.0,15677.0,27000.0,1,40,2010,1,5,3,1,0,1,0,750,0,1
64,64,4905,1,3,0,0,0,1,0,0,0,0,0,0,0,0,3000,0,1,1,1,0,159,0,0,22,10,0,0,24,1,0,39946.0,9946.0,30000.0,0,48,2007,0,3,1,1,0,0,0,750,0,1
65,65,3702,1,3,1,0,0,1,0,0,0,1,0,1,0,0,2600,0,0,0,0,0,126,0,0,20,2,0,0,6,1,0,12255.0,8655.0,3600.0,0,32,2015,0,2,1,1,0,1,0,750,0,0
66,66,3741,0,1,1,0,0,0,0,0,0,0,0,1,1,0,3000,0,0,0,0,0,252,0,0,15,2,0,1,26,1,0,15266.0,10266.0,5000.0,0,64,2017,0,1,2,1,0,0,0,750,0,0
67,67,2211,1,1,0,0,0,1,0,1,0,0,0,0,0,0,3000,0,1,1,1,0,2,0,0,17,3,0,0,2,1,0,32434.0,4134.0,28300.0,0,18,2009,0,5,1,2,0,0,0,750,0,1
68,68,4069,1,3,1,0,0,1,0,1,0,0,0,0,0,0,3000,0,0,0,0,0,33,0,1,16,6,0,0,13,0,0,135038.0,10538.0,124500.0,0,55,2018,0,3,1,2,1,1,0,750,0,1
69,69,996,1,3,1,0,1,0,0,1,0,0,0,0,0,0,3000,0,0,0,0,1,91,0,0,7,2,0,0,28,1,0,23888.0,16288.0,7600.0,0,41,2016,1,3,2,1,1,1,0,750,0,1
70,70,4593,0,1,1,0,2,2,0,0,0,0,0,0,1,0,3000,0,0,0,0,1,135,0,1,8,10,0,0,1,0,0,145333.0,14133.0,131200.0,0,52,2017,1,1,4,1,0,1,0,750,0,1
71,71,1233,1,3,1,0,1,1,0,1,0,0,0,0,1,0,3000,0,0,0,0,0,150,0,0,6,12,0,0,29,1,0,25498.0,14698.0,10800.0,0,68,2012,0,6,2,1,0,1,0,750,0,1
72,72,2846,0,1,1,0,1,2,1,2,0,0,0,0,1,0,3000,0,0,0,0,2,121,0,0,8,12,0,0,13,1,0,42853.0,37153.0,5700.0,0,40,2018,1,4,3,1,0,1,0,750,0,1
73,73,1332,0,1,1,0,0,1,1,0,0,1,0,1,0,0,3000,0,0,0,0,1,99,0,0,12,2,0,0,26,0,1,27323.0,7723.0,19600.0,0,42,2016,0,1,2,1,0,0,1,750,0,0
74,74,1412,1,1,1,0,0,2,0,2,0,0,0,0,1,1,3000,0,0,0,0,0,59,0,0,16,8,0,0,1,0,0,97615.0,19115.0,78500.0,0,37,2014,0,3,2,1,0,1,0,750,0,1
75,75,1727,1,1,1,0,1,3,0,1,0,1,0,0,0,0,2850,0,0,0,0,1,36,0,0,4,10,0,0,26,1,0,41126.0,13426.0,27700.0,0,33,2018,0,5,2,3,0,1,0,750,0,1
76,76,3565,1,4,1,0,1,3,0,2,1,0,0,0,1,0,3000,0,0,0,0,1,60,0,1,5,10,0,0,28,0,0,58850.0,41850.0,17000.0,0,31,2018,0,0,2,1,0,1,0,750,0,0
77,77,315,1,3,1,0,2,0,0,1,0,1,0,0,0,0,3000,0,0,0,0,2,251,0,0,17,1,0,0,27,1,0,24234.0,13234.0,11000.0,0,54,2020,1,6,4,1,0,1,0,750,0,1
78,78,421,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,1,1,1,0,47,0,0,11,5,0,0,16,1,0,20300.0,10800.0,9500.0,0,39,2010,0,3,1,1,0,0,0,750,0,1
79,79,2063,1,0,1,0,0,1,0,0,0,0,0,0,1,0,3000,0,0,0,0,3,61,0,0,12,11,0,0,25,1,0,30447.0,13147.0,17300.0,0,51,2019,1,0,3,1,0,1,0,750,0,1
80,80,3856,0,4,1,0,1,1,1,2,0,0,0,0,0,1,2800,0,0,0,0,0,156,0,0,18,9,0,0,12,0,0,54136.0,38036.0,16100.0,0,42,2016,1,3,3,1,1,1,0,750,0,1
81,81,2274,1,4,1,1,0,0,0,0,0,1,0,1,0,0,3000,0,0,0,0,1,12,0,0,9,8,0,0,13,1,0,14506.0,11106.0,3400.0,0,39,2012,0,1,2,5,0,0,0,750,1,0
82,82,832,0,3,1,0,0,3,1,0,0,0,0,0,1,1,2950,0,0,0,0,1,188,0,0,7,12,0,0,19,0,0,43204.0,16304.0,26900.0,0,52,2018,1,3,3,1,0,1,0,750,0,1
83,83,2494,1,3,1,0,3,2,0,1,0,0,0,0,1,1,3000,0,0,0,0,3,78,0,0,17,5,0,0,20,0,0,33291.0,10291.0,23000.0,0,53,2017,1,0,3,1,0,1,0,750,0,1
84,84,4345,1,4,0,1,0,0,0,0,0,0,0,0,0,0,3000,0,1,1,1,0,5,0,0,16,6,0,0,17,1,0,22109.0,14909.0,7200.0,0,31,2018,0,0,1,2,0,0,0,750,0,1
85,85,2776,0,2,1,0,0,1,1,0,0,0,0,0,0,0,3000,0,0,0,0,4,24,0,0,19,6,0,0,3,1,0,18737.0,11337.0,7400.0,0,42,2019,1,0,3,2,1,1,0,750,0,1
86,86,4839,0,3,1,0,0,0,1,1,0,0,0,0,0,0,2450,0,0,0,0,0,46,0,0,15,4,0,1,15,1,0,21681.0,11981.0,9700.0,0,53,2011,1,0,2,1,1,0,0,1050,0,1
87,87,4858,1,4,1,0,0,2,0,1,0,1,0,0,0,0,3000,0,0,0,0,1,115,0,0,17,12,0,0,8,1,0,32081.0,18881.0,13200.0,0,28,2017,0,6,2,1,0,1,0,750,0,1
88,88,4919,0,2,0,0,0,0,1,1,0,0,0,0,0,0,3000,1,1,1,1,0,128,0,0,8,3,0,0,29,0,0,28972.0,17172.0,11800.0,0,61,2017,0,4,1,1,0,0,0,750,0,1
89,89,3377,0,3,1,0,0,1,0,1,0,0,0,0,1,1,3000,0,0,0,0,0,43,0,0,20,4,0,0,24,0,0,34012.0,24712.0,9300.0,0,34,2020,1,2,3,3,0,1,0,750,0,1
90,90,420,1,2,1,0,4,0,0,2,0,1,0,0,0,0,3000,0,0,0,0,0,57,0,0,10,8,0,0,1,1,0,61886.0,33686.0,28200.0,0,43,2018,1,3,3,1,0,1,0,750,0,1
91,91,440,0,4,1,0,0,1,1,0,0,0,0,0,0,0,3000,1,0,0,0,1,195,0,0,20,12,0,0,12,0,0,42725.0,11325.0,31400.0,0,45,2012,1,3,3,1,1,1,0,750,0,1
92,92,3819,1,1,1,0,0,2,0,2,0,0,0,0,0,0,3000,0,0,0,0,1,48,0,0,8,9,0,0,18,0,0,43253.0,27053.0,16200.0,0,30,2012,1,2,3,1,1,1,1,750,0,1
93,93,2259,0,3,1,0,1,2,1,1,0,1,0,0,0,0,2700,0,0,0,0,0,52,0,0,7,4,0,0,7,1,0,43012.0,21812.0,21200.0,0,28,2020,1,6,2,1,0,1,0,750,0,1
94,94,2378,0,3,1,0,0,3,0,0,0,1,0,1,0,1,3000,0,0,0,0,0,166,0,0,13,6,0,0,18,0,0,46991.0,12991.0,34000.0,0,36,2016,0,1,1,1,0,1,0,750,0,0
95,95,4183,0,1,1,0,0,0,0,2,0,1,0,0,0,0,3000,0,0,0,0,0,117,0,0,9,12,1,0,16,1,0,35753.0,31053.0,4700.0,0,39,2018,0,0,1,1,0,1,0,750,0,0
96,96,867,1,3,1,0,0,0,0,1,0,0,0,0,0,0,3000,0,0,0,0,1,44,0,0,10,4,0,0,26,1,0,17025.0,10125.0,6900.0,0,22,2017,0,4,2,3,1,1,0,750,0,1
97,97,4280,0,3,1,0,0,2,1,1,0,1,0,0,0,0,3000,0,0,0,0,0,205,0,0,8,10,1,0,25,1,0,20669.0,14769.0,5900.0,1,48,2016,0,4,2,1,0,1,0,750,0,0
98,98,2618,1,3,1,0,0,0,0,1,0,1,0,0,0,0,3000,1,0,0,0,4,70,0,0,13,8,0,0,18,0,0,10893.0,5093.0,5800.0,0,48,2007,1,6,3,1,0,1,0,750,0,1
99,99,1151,0,1,1,0,0,2,0,0,0,0,0,0,1,0,2400,0,0,0,0,2,58,0,0,23,2,0,0,24,1,1,19816.0,1516.0,18300.0,0,54,2012,1,6,3,2,0,0,0,750,0,1
100,100,1636,0,1,1,0,0,3,1,1,0,1,0,0,0,0,2500,0,0,0,0,0,72,0,0,22,2,0,0,15,0,0,30544.0,17644.0,12900.0,0,38,2012,1,4,2,1,0,1,1,800,0,1
101,101,1700,1,1,1,0,1,2,0,2,1,1,0,0,0,0,3000,0,0,0,0,2,113,0,0,12,1,0,0,17,0,0,72251.0,51051.0,21200.0,0,41,2020,0,3,2,1,0,0,1,750,1,0
102,102,3410,0,3,1,1,0,0,1,0,0,0,0,1,1,0,2800,0,0,0,0,0,52,0,0,15,11,0,0,4,1,0,9999.0,4199.0,5800.0,0,34,2011,0,0,1,2,0,1,0,750,0,0
103,103,1873,0,3,1,0,1,1,0,2,0,1,0,0,0,0,3000,1,0,0,0,0,106,0,0,15,7,0,0,23,0,0,88728.0,27328.0,61400.0,0,46,2014,1,1,2,1,0,1,0,750,0,1
104,104,271,0,1,0,0,0,3,0,1,0,0,1,0,0,0,3000,0,0,1,1,0,114,0,0,20,11,0,0,25,1,0,24322.0,13022.0,11300.0,0,28,2012,0,0,1,1,0,0,0,750,0,1
105,105,274,1,4,1,0,0,0,0,0,0,1,0,0,0,0,2350,1,0,0,0,1,152,0,0,12,1,0,0,30,0,0,8475.0,5775.0,2700.0,0,67,2012,1,2,3,1,0,1,0,750,0,1
106,106,3699,0,3,1,0,0,0,0,0,0,0,0,1,1,0,3000,0,0,0,0,2,13,0,0,4,8,0,0,3,1,0,65207.0,11107.0,54100.0,0,40,2018,0,5,2,1,0,1,0,750,0,0
107,107,2082,0,3,1,0,0,0,1,2,0,1,0,0,0,0,3000,0,0,0,0,1,50,0,0,7,11,0,0,4,1,0,48476.0,30876.0,17600.0,0,40,2016,0,0,2,1,0,1,0,750,0,1
108,108,2244,1,4,0,0,1,3,0,1,0,0,1,0,0,1,2700,0,0,1,1,0,62,0,0,15,6,0,0,17,0,0,160243.0,16043.0,144200.0,0,55,2016,0,0,1,1,0,0,0,750,0,1
109,109,1011,0,3,1,0,0,2,1,0,0,1,0,1,0,0,3000,0,0,0,0,0,4,0,0,5,3,0,0,5,1,1,25100.0,1000.0,24100.0,0,45,2015,0,1,2,5,0,0,0,750,0,0
110,110,1289,1,1,1,0,1,1,0,1,0,0,0,0,1,0,3000,0,0,0,0,0,37,0,0,19,12,1,0,9,0,1,31362.0,12362.0,19000.0,0,27,2018,0,0,2,2,0,0,1,750,0,0
111,111,4713,1,1,1,0,1,1,0,1,0,0,0,0,0,0,2800,0,0,0,0,1,66,0,0,7,5,0,0,24,1,0,21849.0,13349.0,8500.0,0,48,2019,1,4,2,1,1,1,0,750,0,1
112,112,1382,0,1,1,0,0,1,0,2,0,0,0,0,1,1,2650,0,0,0,0,0,15,0,0,13,9,0,1,17,0,0,40032.0,28832.0,11200.0,0,54,2018,1,1,3,3,0,0,0,750,0,1
113,113,3237,1,3,1,0,0,1,0,0,0,0,0,1,1,0,3000,0,0,0,0,0,73,0,0,2,9,0,0,14,1,0,25712.0,9512.0,16200.0,1,50,2012,0,5,2,1,0,1,0,750,0,0
114,114,110,0,3,1,0,0,2,1,0,0,0,0,0,1,0,2700,0,0,0,0,0,93,0,0,16,8,0,1,29,1,0,21375.0,17975.0,3400.0,0,38,2018,0,3,1,1,0,0,0,750,0,1
115,115,1925,0,1,1,0,0,1,0,0,0,0,0,1,0,0,3000,0,0,0,0,0,175,0,0,11,1,0,0,23,1,0,19298.0,10198.0,9100.0,0,58,2020,0,2,1,1,1,1,0,750,0,0
116,116,2154,0,1,1,0,0,1,1,1,0,1,0,0,0,0,3000,0,0,0,0,3,132,0,0,22,3,0,0,13,1,0,35108.0,19508.0,15600.0,0,53,2016,1,2,3,1,0,1,0,750,0,1
117,117,829,1,3,1,0,1,1,0,1,0,1,0,0,0,0,3000,0,0,0,0,2,60,0,1,13,11,0,0,10,0,0,38918.0,20918.0,18000.0,0,31,2019,1,6,3,1,0,1,0,750,0,1
118,118,2524,0,2,1,0,0,3,1,0,0,1,0,1,0,0,3000,0,0,0,0,0,181,0,0,8,4,0,0,25,0,0,92685.0,11985.0,80700.0,0,43,2019,0,3,1,1,0,1,1,750,0,0
119,119,1097,0,1,1,0,2,2,1,1,0,1,0,0,0,0,3000,1,0,0,0,0,138,0,0,3,5,0,0,25,0,0,26084.0,14584.0,11500.0,0,63,2016,1,5,2,1,0,1,0,750,0,1
