fraud,customer_gender_male,customer_education,incident_type_collision,num_injuries,policy_liability,customer_gender_female,incident_severity,authorities_contacted_fire,collision_type_front,incident_type_theft,authorities_contacted_none,collision_type_rear,policy_state_or,policy_annual_premium,policy_state_az,incident_type_breakin,collision_type_na,driver_relationship_na,num_witnesses,months_as_customer,policy_state_nv,policy_state_id,incident_hour,incident_month,authorities_contacted_ambulance,driver_relationship_spouse,incident_day,policy_state_ca,driver_relationship_child,total_claim_amount,vehicle_claim,injury_claim,num_claims_past_year,customer_age,auto_year,police_report_available,incident_dow,num_vehicles_involved,num_insurers_past_5_years,collision_type_side,driver_relationship_self,policy_state_wa,policy_deductable,driver_relationship_other,authorities_contacted_police
0,1,3,1,1,1,0,1,0,0,0,0,0,0,3000,0,0,0,0,1,184,0,0,8,7,0,0,2,0,0,23481.0,12481.0,11000.0,0,37,2014,0,1,2,1,1,1,1,750,0,1
0,1,1,1,0,3,0,2,0,0,0,0,0,0,3000,0,0,0,0,3,27,0,0,11,3,0,0,3,1,0,79194.0,18594.0,60600.0,0,44,2010,1,6,5,2,1,1,0,750,0,1
0,1,3,1,1,1,0,0,0,1,0,1,0,0,3000,0,0,0,0,0,15,0,0,7,8,0,0,22,0,0,350693.0,10993.0,339700.0,0,32,2018,0,3,2,2,0,1,1,750,0,0
0,1,3,1,0,0,0,1,0,0,0,0,1,0,2950,0,0,0,0,1,86,0,0,6,12,0,0,10,1,0,18179.0,10179.0,8000.0,0,34,2008,0,1,2,1,0,1,0,750,0,1
0,1,3,1,0,1,0,0,0,1,0,0,0,0,3000,0,0,0,0,2,11,0,0,6,4,0,0,18,0,0,15546.0,11346.0,4200.0,0,27,2020,1,3,3,5,0,1,1,750,0,1
0,0,3,1,1,3,1,1,0,1,0,0,0,0,3000,0,0,0,0,1,91,0,0,21,12,0,1,31,1,0,52268.0,17068.0,35200.0,0,45,2017,1,1,2,1,0,0,0,750,0,1
0,0,1,1,1,2,1,2,0,0,0,0,0,0,3000,0,0,0,0,2,25,1,0,17,10,0,0,17,0,0,46811.0,44011.0,2800.0,0,24,2019,1,3,3,4,1,1,0,750,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,0,2750,0,1,1,1,0,90,0,0,8,2,0,0,23,1,0,42296.0,7196.0,35100.0,0,32,2019,0,5,1,1,0,0,0,750,0,1
0,0,3,1,2,1,1,2,1,1,0,0,0,0,3000,0,0,0,0,0,58,0,0,13,3,0,0,16,1,0,47079.0,32979.0,14100.0,0,40,2018,0,5,2,1,0,1,0,750,0,0
0,0,3,1,2,0,1,2,0,0,0,0,0,0,3000,1,0,0,0,2,34,0,0,1,7,0,0,22,0,0,10491.0,4491.0,6000.0,0,28,2003,1,0,4,4,1,1,0,750,0,1
0,0,2,0,1,1,1,1,0,0,0,0,0,0,3000,0,1,1,1,0,78,0,0,10,3,0,0,15,1,0,57536.0,10836.0,46700.0,0,46,2015,0,4,1,1,0,0,0,750,0,1
0,0,3,1,0,3,1,1,0,0,0,0,0,0,3000,0,0,0,0,1,32,0,0,10,1,0,0,18,0,0,26099.0,15099.0,11000.0,0,35,2014,1,4,3,3,1,1,1,750,0,1
1,1,4,1,0,2,0,0,0,0,0,1,0,0,3000,0,0,0,0,2,381,0,0,8,1,0,0,15,1,1,36668.0,11768.0,24900.0,0,53,2019,0,1,2,1,1,0,0,750,0,0
0,0,3,1,0,1,1,0,0,1,0,1,0,0,3000,0,0,0,0,0,11,0,0,7,11,0,0,8,1,0,7375.0,4175.0,3200.0,0,20,2013,0,4,2,3,0,1,0,750,0,0
0,1,3,1,4,1,0,2,0,1,0,0,0,0,2650,0,0,0,0,1,140,0,0,10,10,0,0,30,1,0,95090.0,25390.0,69700.0,0,43,2011,1,2,3,1,0,1,0,750,0,1
0,0,3,1,1,0,1,2,0,1,0,0,0,0,2650,1,0,0,0,3,21,0,0,16,12,0,0,7,0,0,588868.0,12568.0,576300.0,0,29,2007,1,5,3,2,0,1,0,750,0,1
0,0,3,0,1,2,0,1,0,0,1,0,0,1,3000,0,0,1,1,0,4,0,0,16,2,0,0,25,0,0,25207.0,15407.0,9800.0,0,39,2010,0,0,1,3,0,0,0,750,0,1
0,0,2,1,1,1,0,1,0,1,0,0,0,0,2800,0,0,0,0,0,5,0,0,16,9,0,0,24,1,1,17530.0,14330.0,3200.0,0,22,2015,1,1,3,2,0,0,0,750,0,1
0,1,3,1,0,2,0,1,0,0,0,0,0,0,3000,0,0,0,0,0,97,0,0,13,4,0,0,16,1,0,33231.0,16231.0,17000.0,0,43,2015,1,1,2,1,1,0,0,750,1,1
0,1,2,0,0,2,0,0,0,0,0,0,0,1,2600,0,1,1,1,0,17,0,0,19,5,0,0,5,0,0,9588.0,3188.0,6400.0,0,37,2014,0,6,1,3,0,0,0,750,0,1
0,0,3,1,0,0,1,0,0,1,0,1,0,0,3000,0,0,0,0,0,378,0,0,4,10,0,0,24,1,0,37766.0,9066.0,28700.0,0,54,2014,0,3,2,1,0,1,0,750,0,0
0,1,4,1,3,3,0,1,0,1,0,0,0,1,3000,0,0,0,0,0,41,0,0,6,10,0,0,7,0,0,26631.0,17631.0,9000.0,0,64,2016,0,0,2,2,0,1,0,750,0,1
0,0,4,1,1,1,1,0,0,1,0,1,0,0,3000,0,0,0,0,1,45,0,0,14,10,0,0,16,0,0,30414.0,12014.0,18400.0,0,39,2014,0,2,2,2,0,0,1,750,1,0
0,0,3,1,2,2,0,1,0,0,0,0,0,1,2750,0,0,0,0,3,57,0,0,14,11,0,0,11,0,0,79539.0,14739.0,64800.0,0,54,2016,1,0,2,2,1,1,0,750,0,1
0,0,3,1,0,1,1,0,0,0,0,1,1,0,3000,0,0,0,0,0,167,0,0,8,10,0,0,13,1,0,32260.0,7060.0,25200.0,0,32,2011,0,6,1,1,0,1,0,750,0,0
0,0,3,0,0,1,1,1,0,0,1,0,0,1,3000,0,0,1,1,0,47,0,0,8,11,0,0,22,0,0,19566.0,10966.0,8600.0,1,28,2014,0,4,1,3,0,0,0,750,0,1
1,1,3,1,0,3,0,1,0,1,0,0,0,0,3000,0,0,0,0,1,82,0,0,15,10,0,0,12,1,0,71078.0,16278.0,54800.0,1,25,2015,1,5,3,1,0,1,0,750,0,1
0,0,3,1,0,3,1,1,0,0,0,0,1,0,3000,0,0,0,0,0,212,0,0,16,11,0,0,12,1,0,24117.0,17017.0,7100.0,0,66,2016,1,1,2,1,0,1,0,750,0,1
0,0,3,1,0,1,1,0,0,1,0,1,0,0,3000,0,0,0,0,1,61,0,0,22,12,0,0,6,1,0,11938.0,7738.0,4200.0,0,39,2015,0,4,2,1,0,1,0,750,0,0
0,0,3,0,0,1,1,0,0,0,0,0,0,0,3000,0,1,1,1,0,30,0,0,0,7,0,0,10,0,0,60351.0,7151.0,53200.0,0,27,2016,0,2,1,4,0,0,1,750,0,1
0,0,4,1,0,1,1,1,0,1,0,0,0,0,3000,0,0,0,0,1,235,0,0,15,6,0,0,20,1,0,47732.0,20032.0,27700.0,0,50,2018,1,3,3,1,0,1,0,750,0,1
0,1,1,1,0,1,0,0,0,0,0,1,1,0,3000,0,0,0,0,0,123,0,0,17,9,0,0,23,0,0,39956.0,11456.0,28500.0,0,50,2016,0,0,1,1,0,0,1,750,1,0
0,0,1,1,4,1,1,2,0,1,0,0,0,0,3000,0,0,0,0,3,87,0,0,4,11,0,1,1,1,0,51846.0,30746.0,21100.0,0,39,2018,1,4,2,1,0,0,0,750,0,1
0,1,4,1,0,0,0,0,0,0,0,0,0,0,2950,0,0,0,0,2,187,0,0,18,6,0,0,5,1,0,37498.0,11098.0,26400.0,0,41,2018,0,2,2,1,1,1,0,750,0,1
0,1,1,1,0,0,0,1,0,0,0,0,0,0,2550,0,0,0,0,1,98,0,0,14,9,0,0,18,1,0,22459.0,17959.0,4500.0,0,51,2018,0,2,2,1,1,1,0,750,0,1
0,1,3,1,0,0,0,1,0,0,0,0,0,0,2350,0,0,0,0,3,18,0,0,7,11,0,1,4,1,0,13432.0,7032.0,6400.0,0,43,2007,1,0,4,1,1,0,0,750,0,1
0,0,4,1,0,0,1,0,0,1,0,1,0,0,3000,0,0,0,0,0,30,0,0,5,2,0,0,13,1,0,20504.0,14604.0,5900.0,0,26,2020,0,2,1,1,0,0,0,750,1,0
0,0,1,1,0,3,1,0,0,0,0,0,0,1,2750,0,0,0,0,1,67,0,0,18,9,0,0,5,0,0,16206.0,14206.0,2000.0,0,53,2020,0,3,2,1,1,1,0,750,0,1
0,0,3,1,0,1,0,0,0,1,0,0,0,0,3000,0,0,0,0,0,100,0,0,17,8,0,0,5,1,0,13931.0,11331.0,2600.0,1,36,2016,0,0,2,1,0,0,0,750,1,1
0,0,3,1,1,0,1,1,0,0,0,0,1,0,3000,0,0,0,0,0,118,0,0,10,8,0,0,1,1,0,49545.0,23745.0,25800.0,0,69,2020,0,3,2,1,0,1,0,750,0,1
0,0,1,1,0,0,1,0,0,0,0,1,1,0,3000,0,0,0,0,0,295,0,0,8,10,0,0,11,1,0,47904.0,10804.0,37100.0,0,59,2017,0,4,1,1,0,1,0,750,0,0
0,1,2,1,1,0,0,2,0,0,0,0,0,0,3000,0,0,0,0,1,247,0,0,15,3,0,0,28,1,0,26878.0,16578.0,10300.0,0,48,2011,1,3,3,1,1,1,0,750,0,1
0,0,3,1,1,1,1,2,0,1,0,0,0,0,2500,0,0,0,0,1,309,0,0,16,8,0,0,3,1,0,42029.0,33229.0,8800.0,0,66,2018,0,5,2,1,0,1,0,950,0,1
0,1,4,1,1,1,0,1,0,1,0,0,0,0,2800,0,0,0,0,0,141,0,0,14,9,0,0,26,1,0,107485.0,22185.0,85300.0,0,43,2018,0,3,2,1,0,1,0,750,0,1
0,1,3,1,0,1,0,0,0,0,0,0,1,0,3000,0,0,0,0,1,131,0,0,16,8,0,0,31,1,0,38992.0,20692.0,18300.0,0,39,2019,1,5,3,1,0,0,0,750,1,1
0,1,3,1,1,0,0,2,0,0,0,0,0,0,3000,0,0,0,0,0,153,0,0,16,9,0,0,8,1,0,46989.0,24089.0,22900.0,0,58,2012,1,6,2,1,1,1,0,750,0,1
0,0,3,1,0,1,1,2,0,0,0,0,0,0,3000,1,0,0,0,0,169,0,0,7,4,0,0,13,0,0,60146.0,39346.0,20800.0,0,52,2020,1,5,3,1,1,1,0,750,0,1
0,1,3,1,2,1,0,1,0,0,0,0,1,1,3000,0,0,0,0,0,109,0,0,22,1,0,0,29,0,0,27608.0,20508.0,7100.0,0,34,2014,1,1,2,1,0,1,0,750,0,1
0,0,3,1,0,2,1,1,0,0,0,0,0,0,3000,0,0,0,0,1,5,0,0,9,11,0,1,19,1,0,55343.0,8643.0,46700.0,1,20,2010,1,1,2,5,1,0,0,750,0,1
0,0,1,1,1,1,1,1,0,0,0,0,1,0,3000,0,0,0,0,0,89,0,0,13,8,0,0,7,0,0,53854.0,15454.0,38400.0,0,40,2017,0,2,2,1,0,1,1,750,0,1
0,0,4,1,0,1,1,0,0,0,0,1,0,0,2900,0,0,0,0,0,97,0,0,21,1,0,0,4,1,0,159193.0,20693.0,138500.0,0,31,2016,0,4,2,1,1,1,0,750,0,0
0,1,3,0,0,3,0,0,0,0,0,0,0,1,3000,0,1,1,1,0,37,0,0,17,8,0,0,30,0,0,26940.0,7140.0,19800.0,0,27,2016,0,4,1,3,0,0,0,750,0,1
0,0,4,1,1,2,1,0,0,0,0,1,1,0,2400,0,0,0,0,1,203,0,0,6,10,0,0,6,1,0,65425.0,2125.0,63300.0,0,49,2007,0,6,2,1,0,1,0,750,0,0
1,0,3,1,0,0,0,0,0,0,0,1,0,0,3000,0,0,0,0,1,18,0,0,16,6,0,0,27,1,0,25039.0,7639.0,17400.0,0,30,2017,0,3,2,5,1,1,0,750,0,0
1,1,1,1,1,3,0,1,0,1,0,0,0,0,3000,0,0,0,0,1,40,0,0,23,12,0,0,13,1,0,18980.0,7680.0,11300.0,3,35,2007,1,4,2,2,0,0,0,750,1,1
0,0,3,1,0,0,1,1,0,1,0,0,0,0,2700,0,0,0,0,0,55,0,0,12,7,0,0,16,1,0,23644.0,17644.0,6000.0,0,25,2017,1,1,2,2,0,1,0,750,0,1
0,1,3,0,1,1,0,1,0,0,1,0,0,1,3000,0,0,1,1,0,68,0,0,16,8,0,0,9,0,0,41650.0,16350.0,25300.0,0,38,2019,0,4,1,1,0,0,0,750,0,1
0,1,1,1,0,0,0,0,0,0,0,1,0,0,3000,0,0,0,0,1,58,0,0,9,11,0,0,12,1,0,45288.0,14988.0,30300.0,0,54,2018,0,1,2,1,1,1,0,750,0,0
0,1,2,1,0,1,0,0,0,1,0,1,0,0,3000,0,0,0,0,0,165,0,1,16,3,0,0,17,0,0,49448.0,8548.0,40900.0,0,49,2020,0,6,1,1,0,1,0,750,0,0
0,0,4,0,0,1,1,1,0,0,1,0,0,0,3000,1,0,1,1,0,32,0,0,13,10,0,0,4,0,0,25091.0,13991.0,11100.0,0,30,2015,0,4,1,2,0,0,0,750,0,1
0,0,1,1,0,2,1,2,0,1,0,0,0,0,3000,0,0,0,0,1,98,0,0,14,3,0,0,7,1,0,30361.0,24961.0,5400.0,0,52,2014,1,3,3,1,0,1,0,750,0,1
0,0,1,1,3,0,1,2,0,1,0,0,0,0,2800,0,0,0,0,2,204,0,0,16,10,0,0,3,1,0,50178.0,31278.0,18900.0,0,60,2013,1,3,3,1,0,1,0,750,0,1
0,1,4,1,0,2,0,0,0,1,0,0,0,0,3000,0,0,0,0,2,161,0,0,4,7,0,0,14,1,0,49556.0,4456.0,45100.0,0,58,2015,1,6,2,1,0,1,0,750,0,1
0,1,3,1,0,1,0,0,0,1,0,1,0,0,3000,0,0,0,0,3,97,0,0,12,8,0,0,4,0,1,19258.0,12058.0,7200.0,1,53,2018,0,6,2,1,0,0,1,750,0,0
0,1,3,1,0,3,0,0,0,0,0,1,0,0,3000,0,0,0,0,0,32,0,0,17,12,0,0,18,0,1,23263.0,7163.0,16100.0,0,32,2012,0,2,2,1,1,0,1,750,0,0
0,0,3,1,1,0,1,2,1,1,0,0,0,0,2900,0,0,0,0,0,99,0,0,13,5,0,0,10,1,0,38338.0,35638.0,2700.0,0,63,2019,0,4,1,1,0,1,0,750,0,0
0,0,3,1,4,3,0,1,0,0,0,0,1,0,3000,0,0,0,0,4,138,1,0,19,3,0,0,19,0,0,22364.0,12064.0,10300.0,0,52,2016,1,1,3,1,0,1,0,750,0,1
0,0,1,1,0,3,1,0,0,0,0,0,1,0,3000,0,0,0,0,1,80,0,0,11,4,0,0,14,1,0,64071.0,10771.0,53300.0,0,47,2015,1,6,3,1,0,1,0,750,0,1
0,0,4,1,1,0,0,2,0,1,0,0,0,0,2850,0,0,0,0,4,52,0,0,8,12,0,0,20,1,0,49426.0,26626.0,22800.0,0,24,2012,1,4,3,1,0,1,0,750,0,1
0,1,4,1,0,1,0,0,0,0,0,1,1,1,2600,0,0,0,0,0,156,0,0,15,1,0,0,31,0,0,36565.0,8265.0,28300.0,0,55,2016,0,3,2,1,0,1,0,750,0,0
0,0,1,1,1,0,1,2,0,1,0,0,0,0,2650,0,0,0,0,0,175,0,0,19,9,1,0,9,1,0,68820.0,37120.0,31700.0,0,64,2016,0,0,2,1,0,1,0,750,0,0
0,1,3,1,0,0,0,1,0,0,0,0,1,0,3000,0,0,0,0,2,42,0,0,8,6,0,0,24,1,1,23357.0,13757.0,9600.0,0,49,2018,1,0,3,2,0,0,0,750,0,1
0,0,3,1,0,0,1,0,0,0,0,1,1,0,3000,0,0,0,0,0,90,0,0,5,5,0,0,12,1,0,26746.0,10846.0,15900.0,0,43,2016,0,6,2,1,0,1,0,750,0,0
1,1,3,0,0,0,0,1,0,0,1,0,0,0,3000,0,0,1,1,0,55,0,0,11,8,0,0,1,1,0,4179.0,3079.0,1100.0,0,32,2014,0,3,1,1,0,0,0,750,0,1
0,0,3,1,0,1,1,2,0,1,0,0,0,0,3000,1,0,0,0,1,11,0,0,14,2,0,0,15,0,0,46836.0,36836.0,10000.0,0,26,2020,1,4,3,3,0,1,0,750,0,1
0,0,1,1,0,1,1,0,0,0,0,1,1,1,2950,0,0,0,0,1,55,0,0,1,3,0,0,8,0,0,28211.0,19311.0,8900.0,0,24,2020,0,4,2,1,0,1,0,750,0,0
0,1,1,1,0,0,0,0,0,0,0,0,1,0,3000,1,0,0,0,2,8,0,0,11,1,0,1,1,0,0,41804.0,15304.0,26500.0,0,19,2020,1,1,3,2,0,0,0,750,0,1
0,0,2,0,0,2,1,1,0,0,1,0,0,0,3000,1,0,1,1,1,3,0,0,23,9,0,0,29,0,0,18938.0,16738.0,2200.0,0,25,2020,0,6,1,2,0,0,0,750,0,1
0,1,1,1,3,0,0,2,1,1,0,0,0,0,3000,0,0,0,0,1,103,0,0,18,7,0,0,12,1,0,58444.0,43944.0,14500.0,0,26,2019,0,4,2,1,0,1,0,750,0,0
0,0,3,1,0,2,1,1,0,0,0,0,1,0,3000,0,0,0,0,2,79,0,0,9,3,0,0,13,1,0,20573.0,14073.0,6500.0,0,48,2014,0,2,2,1,0,1,0,750,0,1
0,0,3,1,2,2,1,1,0,1,0,0,0,1,3000,0,0,0,0,1,35,0,0,9,6,0,0,17,0,0,100748.0,16248.0,84500.0,0,32,2015,0,0,2,1,0,1,0,750,0,1
0,1,2,1,0,0,0,1,0,1,0,0,0,0,3000,0,0,0,0,0,127,0,0,17,11,0,0,6,1,0,42546.0,17046.0,25500.0,0,43,2018,0,2,2,1,0,1,0,750,0,1
0,0,2,1,1,0,1,2,0,1,0,0,0,0,3000,0,0,0,0,3,30,0,0,7,5,0,1,27,1,0,51771.0,31471.0,20300.0,0,20,2016,1,0,3,3,0,0,0,750,0,1
0,0,3,1,1,2,1,1,0,0,0,0,0,0,3000,0,0,0,0,0,35,0,0,17,8,0,1,23,1,0,37332.0,23332.0,14000.0,1,58,2018,1,4,2,4,1,0,0,750,0,1
0,1,3,1,3,1,0,2,0,0,0,0,0,0,3000,0,0,0,0,1,8,0,0,7,11,0,1,12,0,0,34164.0,25464.0,8700.0,0,40,2013,1,1,3,3,1,0,1,750,0,1
0,0,4,0,0,3,1,1,0,0,1,0,0,0,2700,1,0,1,1,0,125,0,0,13,3,0,0,16,0,0,22158.0,16658.0,5500.0,0,41,2018,0,5,1,1,0,0,0,750,0,1
1,1,1,0,0,0,0,1,0,0,1,0,0,0,2450,0,0,1,1,0,76,0,0,13,12,0,0,17,1,0,25123.0,17523.0,7600.0,0,61,2015,0,1,1,1,0,0,0,750,0,1
0,0,1,1,2,0,1,1,0,1,0,0,0,0,3000,1,0,0,0,1,265,0,0,18,9,0,0,4,0,0,32236.0,16436.0,15800.0,0,64,2020,1,2,2,1,0,1,0,750,0,1
0,1,0,1,0,3,0,0,0,1,0,1,0,1,3000,0,0,0,0,0,216,0,0,5,12,0,0,12,0,0,22335.0,10935.0,11400.0,0,68,2018,0,3,2,1,0,1,0,750,0,0
0,0,3,0,0,1,1,0,0,0,0,0,0,0,3000,0,1,1,1,0,48,0,0,11,1,0,0,12,1,0,22056.0,14656.0,7400.0,0,41,2015,0,5,1,2,0,0,0,750,0,1
0,1,1,1,1,0,0,2,0,1,0,0,0,0,3000,1,0,0,0,0,147,0,0,8,11,0,0,24,0,0,45672.0,36672.0,9000.0,0,51,2019,1,6,3,1,0,1,0,750,0,1
0,1,4,1,1,2,0,2,1,1,0,0,0,0,3000,0,0,0,0,2,262,0,0,13,8,0,0,20,1,0,56832.0,43632.0,13200.0,0,58,2019,0,1,2,1,0,1,0,750,0,0
0,0,3,1,0,2,1,2,0,1,0,0,0,0,3000,0,0,0,0,0,46,1,0,19,3,0,0,3,0,0,44655.0,33355.0,11300.0,2,26,2017,0,6,2,3,0,1,0,750,0,1
0,1,3,1,0,1,0,0,0,0,0,1,1,0,3000,0,0,0,0,0,73,0,0,2,9,0,0,14,1,0,25712.0,9512.0,16200.0,1,50,2012,0,5,2,1,0,1,0,750,0,0
0,1,3,1,0,0,0,0,0,1,0,1,0,0,3000,1,0,0,0,0,106,0,0,16,11,0,0,8,0,0,32128.0,9028.0,23100.0,0,33,2017,0,4,1,1,0,1,0,750,0,0
0,1,3,1,0,2,0,2,0,1,0,0,0,0,3000,0,0,0,0,2,116,0,0,12,8,0,0,6,1,1,42390.0,27290.0,15100.0,0,42,2013,1,1,3,1,0,0,0,750,0,1
0,0,3,1,3,3,1,1,0,0,0,0,0,0,3000,0,0,0,0,0,90,0,0,6,9,0,0,4,1,1,21885.0,19485.0,2400.0,0,39,2017,1,2,2,1,1,0,0,750,0,1
0,1,1,1,0,2,0,2,1,1,0,0,0,0,2950,1,0,0,0,1,109,0,0,16,6,0,0,19,0,0,41891.0,38491.0,3400.0,0,45,2017,0,2,2,1,0,1,0,750,0,0
1,0,1,1,0,3,1,1,0,0,0,0,1,0,2800,0,0,0,0,0,33,0,0,21,1,0,1,25,1,0,20580.0,17380.0,3200.0,0,23,2020,0,4,2,3,0,0,0,750,0,1
0,0,3,1,0,0,1,0,0,1,0,1,0,0,2800,0,0,0,0,0,122,0,0,17,10,0,0,9,1,0,46295.0,6795.0,39500.0,0,36,2016,0,2,2,1,0,1,0,750,0,0
0,0,4,1,0,1,0,0,0,1,0,1,0,0,3000,0,0,0,0,0,18,0,0,0,12,0,0,13,1,0,40547.0,12547.0,28000.0,0,37,2013,0,4,2,3,0,1,0,750,0,0
0,0,1,1,0,0,1,0,0,0,0,1,1,0,3000,0,0,0,0,0,95,0,0,12,2,0,0,22,1,0,51337.0,9737.0,41600.0,0,36,2018,0,4,2,1,0,1,0,750,0,0
0,1,3,1,1,1,0,1,0,0,0,0,1,0,3000,0,0,0,0,1,84,0,0,6,10,0,0,2,0,0,25218.0,13418.0,11800.0,0,47,2016,0,2,2,1,0,1,1,750,0,1
0,0,3,0,0,2,1,0,0,0,0,1,0,0,3000,0,1,1,1,0,21,0,0,16,10,0,0,16,0,0,9537.0,7537.0,2000.0,0,20,2017,0,2,1,1,0,0,1,750,0,0
0,0,4,0,0,2,1,0,0,0,0,0,0,0,2800,0,1,1,1,0,78,0,0,16,2,0,0,21,0,0,25916.0,12216.0,13700.0,0,40,2014,0,3,1,1,0,0,1,800,0,1
0,0,3,1,0,1,1,1,0,0,0,0,1,0,3000,0,0,0,0,0,92,0,0,16,11,1,0,8,1,0,22780.0,16980.0,5800.0,1,28,2019,0,4,2,1,0,1,0,750,0,0
0,0,1,1,0,0,1,0,0,0,0,1,0,0,3000,1,0,0,0,2,65,0,0,22,8,0,0,7,0,0,28887.0,21087.0,7800.0,0,47,2018,0,2,2,1,1,1,0,750,0,0
0,0,3,0,0,1,0,0,0,0,0,0,0,0,3000,0,1,1,1,0,40,0,0,7,9,0,0,11,1,0,25976.0,15276.0,10700.0,0,28,2013,0,2,1,2,0,0,0,750,0,1
0,0,1,1,2,1,1,1,0,0,0,0,0,0,3000,0,0,0,0,1,121,0,1,13,3,0,0,23,0,0,43012.0,21512.0,21500.0,0,51,2015,1,5,2,1,1,1,0,750,0,1
0,0,2,1,2,1,1,1,0,1,0,0,0,0,3000,0,0,0,0,0,3,0,0,6,6,0,0,4,1,0,27634.0,22834.0,4800.0,0,38,2020,0,1,2,3,0,1,0,750,0,1
0,0,3,1,0,3,1,0,0,0,0,0,0,0,3000,0,0,0,0,2,107,0,0,14,9,0,1,18,1,0,16484.0,10584.0,5900.0,0,50,2018,1,2,3,1,1,0,0,750,0,1
0,1,3,1,0,2,0,0,0,1,0,1,0,0,3000,0,0,0,0,2,69,0,0,19,3,0,0,23,1,0,24275.0,12875.0,11400.0,0,30,2018,0,5,2,1,0,1,0,750,0,0
